index,_id,tags,tags1
Masterclass Why study Web Development & DSA Usecases in Industry,6448cc5b456292fbbf29c40a,"['Why web development?', 'DSA Applications in Industry explained', 'SanketSingh', ['Why web development?', 'DSA Applications in Industry explained']]","Why web development? DSA Applications in Industry explained SanketSingh ['Why web development?', 'DSA Applications in Industry explained']"
Building Scalable Applications in Java & Spring Masterclass,64410265456292ae2029a179,"['Building Scalable Applications', 'Understanding Scalability', 'Designing for Scalability', 'Microservices', 'Case Studies', 'VishwaMohan', ['Building Scalable Applications', 'Understanding Scalability', 'Designing for Scalability', 'Microservices', 'Case Studies']]","Building Scalable Applications Understanding Scalability Designing for Scalability Microservices Case Studies VishwaMohan ['Building Scalable Applications', 'Understanding Scalability', 'Designing for Scalability', 'Microservices', 'Case Studies']"
Machine Learning Community Class,643e93ae4562920804297cae,"['Master Machine Learning on Python', 'Supervised Learning', 'Classification Algorithms', 'Regression Algorithms', 'krishnaik', ['Master Machine Learning on Python', 'Supervised Learning', 'Classification Algorithms', 'Regression Algorithms']]","Master Machine Learning on Python Supervised Learning Classification Algorithms Regression Algorithms krishnaik ['Master Machine Learning on Python', 'Supervised Learning', 'Classification Algorithms', 'Regression Algorithms']"
Mastering Databases,643972c34562920139294607,"['Fundamental concepts of databases', 'Data Integrity', 'Database Design', 'Data integrity', 'SudhanshuKumar', 'VishwaMohan', ['Fundamental concepts of databases', 'Data Integrity', 'Database Design', 'Data integrity']]","Fundamental concepts of databases Data Integrity Database Design Data integrity SudhanshuKumar VishwaMohan ['Fundamental concepts of databases', 'Data Integrity', 'Database Design', 'Data integrity']"
CarDekho End to End Project,6439281045629264f12943d8,"['End to End Project', 'Machine Learning Project', 'krishnaik', ['End to End Project', 'Machine Learning Project']]","End to End Project Machine Learning Project krishnaik ['End to End Project', 'Machine Learning Project']"
Full Stack Data Science Masters,63f46e5647b032343fe2bea1,"['Python', 'Flask', 'Numpy', 'Pandas', 'Visualization', 'Databases', 'EDA', 'Linear Algebra', 'Statistics', 'Machine Learning', 'Deep learning', 'Computer vision', 'Natural language processing', 'SourangshuPal', 'krishnaik', 'SudhanshuKumar', 'SunnySavita', 'BoktiarAhmedBappy', 'Dr.FurqanAlam', 'AjayKumar', 'JAYANTILALBHANUSHALI', 'KausthabDuttaPhukan', ['Python', 'Flask', 'Numpy', 'Pandas', 'Visualization', 'Databases', 'EDA', 'Linear Algebra', 'Statistics', 'Machine Learning', 'Deep learning', 'Computer vision', 'Natural language processing']]","Python Flask Numpy Pandas Visualization Databases EDA Linear Algebra Statistics Machine Learning Deep learning Computer vision Natural language processing SourangshuPal krishnaik SudhanshuKumar SunnySavita BoktiarAhmedBappy Dr.FurqanAlam AjayKumar JAYANTILALBHANUSHALI KausthabDuttaPhukan ['Python', 'Flask', 'Numpy', 'Pandas', 'Visualization', 'Databases', 'EDA', 'Linear Algebra', 'Statistics', 'Machine Learning', 'Deep learning', 'Computer vision', 'Natural language processing']"
Complete DSA in Python,63bbd0863d8c5c05632becbc,"['Introduction to Algorithms', 'Analysis in Algorithms', 'Array Data Structure', 'Heap Data Structure', 'Recursion', 'Divide and Conquer', 'Linked List Data Structure', 'Stack and Queue', 'Hashing Data Structure', 'Tree Data Structure', 'Binary Search Tree', 'Graph Traversal Algorithms', 'Application of greedy algorithm', 'Dynamic Programming', 'Research Area- P, NP, NP-Hard and NP-Complete Problems', 'PriyaBhatia', ['Introduction to Algorithms', 'Analysis in Algorithms', 'Array Data Structure', 'Heap Data Structure', 'Recursion', 'Divide and Conquer', 'Linked List Data Structure', 'Stack and Queue', 'Hashing Data Structure', 'Tree Data Structure', 'Binary Search Tree', 'Graph Traversal Algorithms', 'Application of greedy algorithm', 'Dynamic Programming', 'Research Area- P, NP, NP-Hard and NP-Complete Problems']]","Introduction to Algorithms Analysis in Algorithms Array Data Structure Heap Data Structure Recursion Divide and Conquer Linked List Data Structure Stack and Queue Hashing Data Structure Tree Data Structure Binary Search Tree Graph Traversal Algorithms Application of greedy algorithm Dynamic Programming Research Area- P, NP, NP-Hard and NP-Complete Problems PriyaBhatia ['Introduction to Algorithms', 'Analysis in Algorithms', 'Array Data Structure', 'Heap Data Structure', 'Recursion', 'Divide and Conquer', 'Linked List Data Structure', 'Stack and Queue', 'Hashing Data Structure', 'Tree Data Structure', 'Binary Search Tree', 'Graph Traversal Algorithms', 'Application of greedy algorithm', 'Dynamic Programming', 'Research Area- P, NP, NP-Hard and NP-Complete Problems']"
Tableau Foundation Course,63b97c2d3d8c5c55052bd531,"['Tableau desktop installation', 'Connecting Tableau with a variety of data sources, including excel and CSV files.', 'Creating interactive dashboard', 'Creating data stories', 'Generating business insights', 'Sorting, Filtering', 'Marks Card', 'Formatting in Tableau', 'Lines and Bands', 'Charts in Tableau', 'DrNishthaJain', ['Tableau desktop installation', 'Connecting Tableau with a variety of data sources, including excel and CSV files.', 'Creating interactive dashboard', 'Creating data stories', 'Generating business insights', 'Sorting, Filtering', 'Marks Card', 'Formatting in Tableau', 'Lines and Bands', 'Charts in Tableau']]","Tableau desktop installation Connecting Tableau with a variety of data sources, including excel and CSV files. Creating interactive dashboard Creating data stories Generating business insights Sorting, Filtering Marks Card Formatting in Tableau Lines and Bands Charts in Tableau DrNishthaJain ['Tableau desktop installation', 'Connecting Tableau with a variety of data sources, including excel and CSV files.', 'Creating interactive dashboard', 'Creating data stories', 'Generating business insights', 'Sorting, Filtering', 'Marks Card', 'Formatting in Tableau', 'Lines and Bands', 'Charts in Tableau']"
Complete Excel Course,63b97ada3d8c5c0f6f2bd343,"['String functions on Excel', 'Mathematical functions on Excel', 'Logical & error functions on Excel', 'Excel formatting', 'Custom formatting', 'Conditional formatting', 'Charts in Excel', 'Data analysis using Excel', 'Pivot tables', 'Dashboarding in Excel', 'DrNishthaJain', ['String functions on Excel', 'Mathematical functions on Excel', 'Logical & error functions on Excel', 'Excel formatting', 'Custom formatting', 'Conditional formatting', 'Charts in Excel', 'Data analysis using Excel', 'Pivot tables', 'Dashboarding in Excel']]","String functions on Excel Mathematical functions on Excel Logical & error functions on Excel Excel formatting Custom formatting Conditional formatting Charts in Excel Data analysis using Excel Pivot tables Dashboarding in Excel DrNishthaJain ['String functions on Excel', 'Mathematical functions on Excel', 'Logical & error functions on Excel', 'Excel formatting', 'Custom formatting', 'Conditional formatting', 'Charts in Excel', 'Data analysis using Excel', 'Pivot tables', 'Dashboarding in Excel']"
Automatic Number Plate Recognition,63932ecfe714c0e744532e42,"['Real Time Projects', 'Automatic Number Plate Recognition', 'Object detection using tensorflow', 'Paddle OCR', 'Modular Coding Techniques', 'Learn about AWS basics along with CICD tools like Github actions for production-grade deployment', 'Flask web framework', 'krishnaik', ['Real Time Projects', 'Automatic Number Plate Recognition', 'Object detection using tensorflow', 'Paddle OCR', 'Modular Coding Techniques', 'Learn about AWS basics along with CICD tools like Github actions for production-grade deployment', 'Flask web framework']]","Real Time Projects Automatic Number Plate Recognition Object detection using tensorflow Paddle OCR Modular Coding Techniques Learn about AWS basics along with CICD tools like Github actions for production-grade deployment Flask web framework krishnaik ['Real Time Projects', 'Automatic Number Plate Recognition', 'Object detection using tensorflow', 'Paddle OCR', 'Modular Coding Techniques', 'Learn about AWS basics along with CICD tools like Github actions for production-grade deployment', 'Flask web framework']"
