index,_id,platformType,tags,labPlans,mode,categoryId,seo,description,mobilePricing,videoURL,classTimings,batches,createdAt,img,courseMeta,instructorsDetails,pricing,courseInOneNeuron
Masterclass Why study Web Development & DSA Usecases in Industry,6448cc5b456292fbbf29c40a,main,['community'],[],self-paced,62cd98d053f5fe1def6b9b12,{'keywords': ''},"Learning web development is becoming increasingly valuable in today's digital world. With the majority of businesses and services now operating online, there is a high demand for skilled web developers who can create and maintain responsive, user-friendly websites and applications. Studying web development can provide students with a diverse set of skills that can be applied to a variety of industries and job roles. In addition, web development is a constantly evolving field, meaning that there are always new technologies and frameworks to learn, making it an exciting and dynamic career path.","{'IN': 99, 'US': 1.25, 'discount': 100, 'isFree': False}",,"{'startDate': ""30th April'23"", 'timings': '6PM IST'}",[],2023-04-26T07:01:47.957Z,6448cc5b456292fbbf29c40a.jpg,"[{'instructors': ['6425405845629281da28a087'], 'overview': {'learn': ['Why web development?', 'DSA Applications in Industry explained'], 'requirements': ['Dedication', 'Internet Connection'], 'features': ['Masterclass', 'Expert Sessions by Industry veterans'], 'language': 'english'}}]","[{'_id': '6425405845629281da28a087', 'name': 'Sanket Singh', 'description': 'Current working with Google Pay | Ex - Software Engineer at LinkedIn |Former Google Summer Of Code Developer for Harvard University | 5 years of teaching experience | Top notch Educator for competitive programming and Software design/development at different edtech companies. Students placed in FAANG, Zomato, Axis, Microsoft and other top product based companies.', 'social': {'linkedin': 'https://www.linkedin.com/in/singhsanket143/', 'youtube': ''}, 'img': {'source': 'bucket', 'link': '6425405845629281da28a087.jpg'}}]","{'IN': 99, 'US': 1.25, 'discount': 100, 'isFree': False}",
Building Scalable Applications in Java & Spring Masterclass,64410265456292ae2029a179,main,['community'],[],self-paced,62cd9b4c53f5fe6d836b9b36,{'keywords': ''},"Building scalable applications in Java and Spring involves designing and implementing applications that can handle increasing amounts of data, traffic, and users. This requires following best practices and design principles such as loose coupling, modularization, and fault tolerance. Java and Spring provide powerful tools and frameworks for building distributed systems, monitoring performance, and optimizing resource utilization. By leveraging these tools and principles, developers can build robust, scalable applications that can adapt to changing business needs and user requirements.","{'isFree': True, 'IN': 0, 'US': 0, 'discount': 0}",,"{'startDate': ""29th April'23"", 'timings': '8.30PM'}",[],2023-04-20T09:14:13.336Z,64410265456292ae2029a179.jpg,"[{'instructors': ['63fdaf9f87f61173feb489be'], 'overview': {'learn': ['Building Scalable Applications', 'Understanding Scalability', 'Designing for Scalability', 'Microservices', 'Case Studies'], 'requirements': ['Dedication', 'Internet Connection'], 'features': ['Masterclass by Industry Veterans', 'Industry Expert Sessions'], 'language': 'english'}}]","[{'_id': '63fdaf9f87f61173feb489be', 'name': 'Vishwa Mohan', 'description': 'Staff Software Engineer at LinkedIn ( Ex - WalmartLabs, Paypal, Oracle ) - IIT BHU Graduate - 14 years of teaching experience - Top educator at almost all the edTech companies in India and abroad on the topics including Software Engineering, Data Science, Big Data, AI/ML etc - Mentored 20,000+ professional and students till date - Students at almost every company - including FAANG companies', 'social': {'linkedin': 'https://www.linkedin.com/in/vishwa-mohan/', 'youtube': ''}, 'img': {'source': 'bucket', 'link': '63fdaf9f87f61173feb489be.jpg'}}]","{'isFree': True, 'IN': 0, 'US': 0, 'discount': 0}",
Machine Learning Community Class,643e93ae4562920804297cae,main,['community'],[],self-paced,62cd960b53f5fec5156b9aeb,{'keywords': 'Machine learning basics\nData preprocessing\nSupervised learning\nUnsupervised learning\nClassification algorithms\nRegression analysis\nDecision trees\nNeural networks\nDeep learning\nNatural Language Processing (NLP)\nComputer Vision\nClustering techniques\nDimensionality reduction\nModel evaluation\nFeature engineering'},"This free course on machine learning is designed to provide beginners with a comprehensive introduction to the fundamental concepts and techniques used in this exciting field. The course covers topics such as supervised and unsupervised learning, linear regression, decision trees, and clustering. Through a combination of video lectures, interactive exercises, and real-world examples, students will gain a solid understanding of the principles of machine learning and how they can be applied to solve complex problems.","{'IN': 0, 'US': 0, 'discount': 0, 'isFree': False}",,"{'startDate': '18th April', 'timings': 'Flexible'}",[],2023-04-18T12:57:18.673Z,643e93ae4562920804297cae.jpg,"[{'instructors': ['618929e26e59b248b8c04aa6'], 'overview': {'learn': ['Master Machine Learning on Python', 'Supervised Learning', 'Classification Algorithms', 'Regression Algorithms'], 'requirements': ['Dedication', 'Internet Connection'], 'features': ['Free Course', 'Dashboard Access', 'Course Materials', 'Course Resources'], 'language': 'english'}}]","[{'_id': '618929e26e59b248b8c04aa6', 'name': 'krish naik', 'social': {'linkedin': 'https://www.linkedin.com/in/naikkrish/', 'instagram': 'https://www.instagram.com/krishnaik06', 'facebook': 'https://www.facebook.com/krishnaik06', 'youtube': 'https://www.youtube.com/user/krishnaik06', 'github': 'https://github.com/krishnaik06'}, 'img': {'source': 'bucket', 'link': 'Krish naik.png'}, 'description': 'Having 10+ years of experience in Data Science and Analytics with product architecture design and delivery. Worked in various product and service based Company. Having an experience of 5+ years in educating people and helping them to make a career transition.'}]","{'isFree': True, 'IN': 0, 'US': 0, 'discount': 0}",
Mastering Databases,643972c34562920139294607,main,['community'],[],self-paced,62cda24c53f5fe6c866b9b9d,{'keywords': ''},"This course is an introduction to databases, their design, implementation, and management. Databases are critical components of modern information systems, and they play an essential role in managing and organizing data. The course provides a comprehensive overview of database concepts, including the fundamentals of data modeling, database design, data integrity, and security.","{'isFree': True, 'IN': 0, 'US': 0, 'discount': 0}",https://www.youtube.com/embed/FmUp4gaSTNI,"{'startDate': ""15th April'23"", 'timings': 'Flexible'}",[],2023-04-14T15:35:31.687Z,643972c34562920139294607.jpg,"[{'instructors': ['63fdaf9f87f61173feb489be', '619370a59db36f163876b413'], 'overview': {'learn': ['Fundamental concepts of databases', 'Data Integrity', 'Database Design', 'Data integrity'], 'requirements': ['Dedication', 'Internet Connection'], 'features': ['Dashboard Access', 'Course Materials', 'Course Resourses', 'Lectures by Industry Veteran'], 'language': 'english'}}]","[{'_id': '619370a59db36f163876b413', 'name': 'Sudhanshu Kumar', 'social': {'linkedin': 'https://www.linkedin.com/in/-sudhanshu-kumar/', 'youtube': 'https://www.youtube.com/c/sudhanshukumarall'}, 'img': {'source': 'bucket', 'link': 'Sudhanshu Kumar.png'}, 'description': 'Having 8+ years of experience in Big data, Data Science and Analytics with product architecture design and delivery. Worked in various product and service based Company. Having an experience of 5+ years in educating people and helping them to make a career transition.'}, {'_id': '63fdaf9f87f61173feb489be', 'name': 'Vishwa Mohan', 'description': 'Staff Software Engineer at LinkedIn ( Ex - WalmartLabs, Paypal, Oracle ) - IIT BHU Graduate - 14 years of teaching experience - Top educator at almost all the edTech companies in India and abroad on the topics including Software Engineering, Data Science, Big Data, AI/ML etc - Mentored 20,000+ professional and students till date - Students at almost every company - including FAANG companies', 'social': {'linkedin': 'https://www.linkedin.com/in/vishwa-mohan/', 'youtube': ''}, 'img': {'source': 'bucket', 'link': '63fdaf9f87f61173feb489be.jpg'}}]","{'isFree': True, 'IN': 0, 'US': 0, 'discount': 0}",
CarDekho End to End Project,6439281045629264f12943d8,main,['community'],[],self-paced,62cd961453f5fe4b636b9aec,{'keywords': 'cardekho project'},"CarDekho is a self-propelled machine or vehicle gateway that shares evaluations, directions, pictures, and videos of various cars that are offered for sale in the Indian market. Information about used cars listed on www.Cardekho.Com is contained in their dataset, which is accessible on several platforms. There Are Several Uses For This Info, One Of Which Is Machine Learning Price Prediction. Construction of an AI-based pricing model for CarDekho's use of AI to enable real-time customer transactions.","{'isFree': True, 'IN': 0, 'US': 0, 'discount': 0}",,"{'startDate': ""14th April'23"", 'timings': 'Flexible'}",[],2023-04-14T10:16:48.637Z,6439281045629264f12943d8.jpg,"[{'instructors': ['618929e26e59b248b8c04aa6'], 'overview': {'learn': ['End to End Project', 'Machine Learning Project'], 'requirements': ['Dedication', 'Internet Connection'], 'features': ['Hands-On Industry Real-Time Projects', 'Self Paced Learning', 'Dashboard Access'], 'language': 'english'}}]","[{'_id': '618929e26e59b248b8c04aa6', 'name': 'krish naik', 'social': {'linkedin': 'https://www.linkedin.com/in/naikkrish/', 'instagram': 'https://www.instagram.com/krishnaik06', 'facebook': 'https://www.facebook.com/krishnaik06', 'youtube': 'https://www.youtube.com/user/krishnaik06', 'github': 'https://github.com/krishnaik06'}, 'img': {'source': 'bucket', 'link': 'Krish naik.png'}, 'description': 'Having 10+ years of experience in Data Science and Analytics with product architecture design and delivery. Worked in various product and service based Company. Having an experience of 5+ years in educating people and helping them to make a career transition.'}]","{'isFree': True, 'IN': 0, 'US': 0, 'discount': 0}",
Full Stack Data Science Masters,63f46e5647b032343fe2bea1,main,['live'],[],self-paced,62cd959d53f5fe14766b9ae5,{'keywords': 'Full Stack Data Science Masters'},"This program teaches students how to extract insights from data using statistical and machine learning techniques, as well as data visualization and data operational skills. Students learn to work with popular data analysis tools such as Python, SQL, and machine learning frameworks, and work on hands-on projects to apply their knowledge.  Overall, the course provides students with the skills to make informed decisions based on data, relevant to a wide range of industries. You will learn all the stack required to work in data science, including machine learning operations and cloud infrastructure, as well as real-time industry projects.","{'IN': 20000, 'US': 299, 'discount': 0, 'isFree': False}",https://www.youtube.com/embed/0LuN9graVYE,"{'doubtClearing': '12:00 PM to 2:00 PM (IST) Saturday - Sunday', 'startDate': ""13th May'23"", 'timings': '09:00 AM to 12:00 PM (IST) Saturday - Sunday'}",[],2023-02-21T07:10:14.866Z,63f46e5647b032343fe2bea1.jpg,"[{'instructors': ['645cd1574562923c8a2a408c', '619370a59db36f163876b413', '618929e26e59b248b8c04aa6', '645cd19e45629229d12a408f', '645cd1d245629217182a40a4', '645cd20d4562920e962a40a7', '6222165b760e3ef701f81a6f', '6187a914f07f73543ccb6999', '622603d5760e3e0aa5f854af'], 'overview': {'learn': ['Python', 'Flask', 'Numpy', 'Pandas', 'Visualization', 'Databases', 'EDA', 'Linear Algebra', 'Statistics', 'Machine Learning', 'Deep learning', 'Computer vision', 'Natural language processing'], 'requirements': ['System with minimum i3 processor or better', 'At least 4 GB of RAM', 'Working internet connection', 'Dedication to learn'], 'features': ['Full Stack Data Science Masters Certification', 'Job Guarantee Program', 'Instructor Led Live Classes', '500+ hours Live Classes by Industry Veterans', '20+ hands-on industry real-time projects', '2 year Dashboard access', 'Doubt clearing live classes', 'Doubt clearing through mail and support team', 'Assignment in all the modules', 'Quiz in all modules', 'End-to-End Projects', 'Resume Building ', 'Career Guidance ', 'Interview Preparation', 'Regular Assessment', 'Job Fair & Internal Hiring', 'Mock Interview Anytime', 'Internship Portal Access', 'NeuroLabs Access'], 'language': 'english'}}]","[{'_id': '6187a914f07f73543ccb6999', 'name': 'Sourangshu Pal', 'description': 'Visual Computing Engineer and instructor at iNeuron.ai having 3 years of diverse experience in the discipline of visual computing with specialization in Deep Learning and Computer Graphics. Loves to analyze, process, and model visual data then interpret the insights to create actionable plans for solving challenging business problems.', 'social': {'linkedin': 'https://www.linkedin.com/in/sourangshu-pal-0774b212a/', 'github': 'https://github.com/sourangshupal'}, 'img': {'source': 'bucket', 'link': 'Sourangshu Pal.png'}}, {'_id': '618929e26e59b248b8c04aa6', 'name': 'krish naik', 'social': {'linkedin': 'https://www.linkedin.com/in/naikkrish/', 'instagram': 'https://www.instagram.com/krishnaik06', 'facebook': 'https://www.facebook.com/krishnaik06', 'youtube': 'https://www.youtube.com/user/krishnaik06', 'github': 'https://github.com/krishnaik06'}, 'img': {'source': 'bucket', 'link': 'Krish naik.png'}, 'description': 'Having 10+ years of experience in Data Science and Analytics with product architecture design and delivery. Worked in various product and service based Company. Having an experience of 5+ years in educating people and helping them to make a career transition.'}, {'_id': '619370a59db36f163876b413', 'name': 'Sudhanshu Kumar', 'social': {'linkedin': 'https://www.linkedin.com/in/-sudhanshu-kumar/', 'youtube': 'https://www.youtube.com/c/sudhanshukumarall'}, 'img': {'source': 'bucket', 'link': 'Sudhanshu Kumar.png'}, 'description': 'Having 8+ years of experience in Big data, Data Science and Analytics with product architecture design and delivery. Worked in various product and service based Company. Having an experience of 5+ years in educating people and helping them to make a career transition.'}, {'_id': '6222165b760e3ef701f81a6f', 'name': 'Sunny Savita', 'description': ""I'm an AI enthusiast, graduate in Computer science and engineering. Currently working with iNeuron.ai as a Data Scientist and having 2+ years of experience. I have skills in big data, machine learning, computer vision, Natural language processing. My expertise also includes project design development and implementation with AIOps tools. "", 'img': {'source': 'bucket', 'link': '6222165b760e3ef701f81a6f.jpg'}}, {'_id': '622603d5760e3e0aa5f854af', 'name': 'Boktiar Ahmed Bappy', 'description': ""This is Bappy. I aim for simplicity in Data Science. Real Creativity won't make things more complex. Instead, I will simplify them, Interested in a Data Science Career and so develop myself accordingly. Data Scientist and lecturer with working experience in Machine Learning, Deep Learning, Microcontrollers and Electronics systems. Hands-on experience in classification, regression, clustering, computer vision, natural language processing and transfer learning models to solve challenging business problems. I have a huge interest in Robotics. I have innovated a lot of innovations, ideas, projects & robots and got a lot of achievements."", 'img': {'source': 'bucket', 'link': '622603d5760e3e0aa5f854af.jpg'}}, {'_id': '645cd1574562923c8a2a408c', 'name': 'Dr. Furqan Alam', 'description': ""Dr. Furqan Alam is a distinguished researcher and technology expert who earned his M.Sc. and Ph.D. with scholarships at King Abdulaziz University, a prestigious institution listed 106th in the QS university rankings. His multifaceted background spans the academic and industry, and he has specialized knowledge in advanced areas such as AI-based Covid-19 applications, innovative healthcare solutions, and self-driving technologies. Proficient in a broad spectrum of disciplines including the Internet of Things (IoT), smart urban planning, e-learning, machine learning, image categorization, and activity detection, Dr. Alam actively participates in a variety of research initiatives. His scholarly articles are frequently cited, a testament to his influential contributions to his field. Throughout his illustrious career, Dr. Alam has played a role in six globally-funded projects, one was sponsored by the National Science Foundation in the USA. He also held a position in the research team at the High-Performance Computing Center of King Abdulaziz University, where the Aziz Super Computer - one of the world's top 500 - is housed"", 'social': {'linkedin': '', 'youtube': ''}, 'img': {'source': 'bucket', 'link': '645cd1574562923c8a2a408c.jpg'}}, {'_id': '645cd19e45629229d12a408f', 'name': 'Ajay Kumar', 'description': 'I am a Senior R&D Engineer in the field of Data Science at Synopsys, where I leverage my extensive background and 3.5 years of experience as a Data Scientist across diverse industries. In addition to my professional pursuits, I am fueled by a genuine passion for teaching, which has inspired me to assume roles as a Data Science mentor in various educational technology companies. With over 3 years of experience in educating individuals and facilitating successful career transitions, I am dedicated to helping professionals excel in the field of Data Science and Machine Learning.', 'social': {'linkedin': 'https://www.linkedin.com/in/ajay-kumar-gupta-406597134/', 'youtube': ''}, 'img': {'source': 'bucket', 'link': '645cd19e45629229d12a408f.jpg'}}, {'_id': '645cd1d245629217182a40a4', 'name': 'JAYANTILAL BHANUSHALI', 'description': 'Jayantilal Bhanushali is a data science leader with over 9 years of industry experience in the field of Machine learning and artificial intelligence. He brings with him 5+ years of training experience where he has mentored 1000+ students & working professionals for breaking into data science.', 'social': {'linkedin': 'https://in.linkedin.com/in/jayantilalb', 'youtube': ''}, 'img': {'source': 'bucket', 'link': '645cd1d245629217182a40a4.jpg'}}, {'_id': '645cd20d4562920e962a40a7', 'name': 'Kausthab Dutta Phukan', 'description': '""My name is Kausthab and I have 9 years of experience in Sales and Data Science. An ex-Sales Professional who turned into a Data Scientist. Have worked in industries like Insurance, Real Estate, IT.Have worked with brands like ICICI Lombard, Lodha, TheMathCompany etc. I am an incoming student in Toronto Metropolitan University where I am pursuing my interest in Deep Learning and getting certified for the same. I have mentored over 700 students and have helped made some successful transitions into Data Science. Outside of work, I am mostly an outdoorsy person and love to hike, run marathons and anything fitness.""', 'social': {'linkedin': 'https://www.linkedin.com/in/kausthab-dutta-phukan-014b5b17/', 'youtube': ''}, 'img': {'source': 'bucket', 'link': '645cd20d4562920e962a40a7.jpg'}}]","{'IN': 20000, 'US': 299, 'discount': 0, 'isFree': False}",
Complete DSA in Python,63bbd0863d8c5c05632becbc,main,[],[],self-paced,62cda11e53f5fe7a386b9b87,"{'keywords': 'Complete DSA in Python, DSA with Python course, DSA Python Online course, Complete DSA with Python Course'}","A comprehensive chase to excel in any interview for the Data Structures and Algorithms. This course has been specifically designed to provide resources that would assist you in cracking problem-solving interviews. The presented problems in the course would suffice to look for positive outcomes in the interviews. Complete DSA (Data Structures and Algorithms) in Python is a comprehensive course that covers all the fundamental concepts, techniques, and best practices of DSA using Python programming language. You will learn different sorting algorithms such as bubble sort, selection sort, insertion sort, quicksort, and mergesort and how to implement them using Python. Additionally, you will learn how to search for elements in a data structure using binary search and linear search. The Programme features include the Course material and Lifetime dashboard access for the learner. The Course covers all the essential topics of DSA using Python programming language. It is well-designed for beginners who want to learn DSA from scratch and for professionals who want to enhance their DSA skills using Python.","{'IN': None, 'US': None, 'isFree': False}",,{'timings': 'Flexible'},[],2023-01-09T08:30:00.488Z,63bbd0863d8c5c05632becbc.jpg,"[{'instructors': ['618964776a74763ac407df8b'], 'overview': {'learn': ['Introduction to Algorithms', 'Analysis in Algorithms', 'Array Data Structure', 'Heap Data Structure', 'Recursion', 'Divide and Conquer', 'Linked List Data Structure', 'Stack and Queue', 'Hashing Data Structure', 'Tree Data Structure', 'Binary Search Tree', 'Graph Traversal Algorithms', 'Application of greedy algorithm', 'Dynamic Programming', 'Research Area- P, NP, NP-Hard and NP-Complete Problems'], 'requirements': ['System with minimum i3 processor or better', 'At least 4 GB of RAM', 'Working internet connection', 'Dedication to learn'], 'features': ['Course Materials', 'Self Paced Learning', 'Lifetime Dashboard Access', 'Completion Certificate'], 'language': 'english'}}]","[{'_id': '618964776a74763ac407df8b', 'name': 'Priya Bhatia', 'social': {'linkedin': 'https://www.linkedin.com/in/bhatia-priya/', 'instagram': 'https://www.instagram.com/priyabhatia6971/', 'facebook': 'https://www.facebook.com/priya.bhatia.37604', 'github': 'https://github.com/priya6971'}, 'img': {'source': 'bucket', 'link': 'Priya Bhatia.png'}, 'description': 'Expertise in data structure competitive programing and solving an analytical problems and implementing data structure algorithm in multiple programing language. I have done my M.Tech in Artificial Intelligence at IIT Hyderabad and have an experience of implementation in multiple projects.'}]","{'IN': 25000, 'US': 315, 'discount': 0, 'isFree': False}","{'bundleName': 'Tech Neuron', 'bundleId': '6187abaa15495237705219ee'}"
Tableau Foundation Course,63b97c2d3d8c5c55052bd531,main,[],[],self-paced,62cd984253f5fea11e6b9b08,{'keywords': 'Tableau Foundation Course'},"Tableau enables critical decision-makers to learn how to display data and uncover data patterns such as customer purchase behavior, sales trends, or production bottlenecks. This course will cover all of Tableau's capabilities that allow you to explore, experiment with, prepare, and present data fast and beautifully throughout an organisation, and we'll walk you through the entire process so you can make an impact and join the industry.","{'IN': None, 'US': None, 'isFree': False}",,{'timings': 'Flexible'},[],2023-01-07T14:05:34.339Z,63b97c2d3d8c5c55052bd531.jpg,"[{'instructors': ['62264c53760e3e27bcf86b75'], 'overview': {'learn': ['Tableau desktop installation', 'Connecting Tableau with a variety of data sources, including excel and CSV files.', 'Creating interactive dashboard', 'Creating data stories', 'Generating business insights', 'Sorting, Filtering', 'Marks Card', 'Formatting in Tableau', 'Lines and Bands', 'Charts in Tableau'], 'requirements': ['System with minimum i3 processor or better', 'At least 4 GB of RAM', 'Working internet connection', 'Dedication to learn'], 'features': ['Course Materials', 'Self Paced Learning', 'Lifetime Dashboard Access', 'Completion Certificate'], 'language': 'english'}}]","[{'_id': '62264c53760e3e27bcf86b75', 'name': 'Dr Nishtha Jain', 'description': 'I am a doctor by profession but a teacher by passion. I have been into the teaching profession for the last 3 years. I have been and am still a mentor for various courses which include technical as well as non-technical ones. These include MS-Excel, Tableau, Computer basics, Biology, English, etc. I love to learn, explore and share my knowledge to whatever extent possible. Being an ardent educator, I have always helped all my students and will continue to do the same.', 'img': {'source': 'bucket', 'link': '62264c53760e3e27bcf86b75.jpg'}, 'social': {'linkedin': 'https://www.linkedin.com/in/dr-nishtha-jain-ab6b441a5', 'youtube': ''}}]","{'IN': 25000, 'US': 315, 'discount': 0, 'isFree': False}","{'bundleName': 'Tech Neuron', 'bundleId': '6187abaa15495237705219ee'}"
Complete Excel Course,63b97ada3d8c5c0f6f2bd343,main,[],[],self-paced,62cd987653f5fe765b6b9b0d,{'keywords': 'Complete Excel Course'},"Excel is perhaps the most widely used spreadsheet on personal computers. It's simple to use for a variety of computations and comes with a Data Analysis Tool Pack and a collection of statistical tools. So, if you suddenly find yourself looking to undertake some statistical analysis, you may choose to start using Excel. So, in this course, you will study all there is to know about Excel, from the fundamentals to advanced topics, and you will have a thorough knowledge of its power and how to use it for data analysis and other applications.","{'IN': None, 'US': None, 'isFree': False}",,{'timings': 'Flexible'},[],2023-01-07T13:59:55.530Z,63b97ada3d8c5c0f6f2bd343.jpg,"[{'instructors': ['62264c53760e3e27bcf86b75'], 'overview': {'learn': ['String functions on Excel', 'Mathematical functions on Excel', 'Logical & error functions on Excel', 'Excel formatting', 'Custom formatting', 'Conditional formatting', 'Charts in Excel', 'Data analysis using Excel', 'Pivot tables', 'Dashboarding in Excel'], 'requirements': ['System with minimum i3 processor or better', 'At least 4 GB of RAM', 'Working internet connection', 'Dedication to learn'], 'features': ['Course Materials', 'Self Paced Learning', 'Lifetime Dashboard Access', 'Completion Certificate'], 'language': 'english'}}]","[{'_id': '62264c53760e3e27bcf86b75', 'name': 'Dr Nishtha Jain', 'description': 'I am a doctor by profession but a teacher by passion. I have been into the teaching profession for the last 3 years. I have been and am still a mentor for various courses which include technical as well as non-technical ones. These include MS-Excel, Tableau, Computer basics, Biology, English, etc. I love to learn, explore and share my knowledge to whatever extent possible. Being an ardent educator, I have always helped all my students and will continue to do the same.', 'img': {'source': 'bucket', 'link': '62264c53760e3e27bcf86b75.jpg'}, 'social': {'linkedin': 'https://www.linkedin.com/in/dr-nishtha-jain-ab6b441a5', 'youtube': ''}}]","{'IN': 25000, 'US': 315, 'discount': 0, 'isFree': False}","{'bundleName': 'Tech Neuron', 'bundleId': '6187abaa15495237705219ee'}"
Automatic Number Plate Recognition,63932ecfe714c0e744532e42,main,[],[],self-paced,62cd966453f5fe5b3e6b9af4,{'keywords': 'Automatic Number Plate Recognition'},"In the following project, we will understand how to recognize License number plates using Python. We will utilize OpenCV for this project in order to identify the license number plates and the Paddle OCR for the characters and digits extraction from the plate. We will create a web app with a Flask framework that automatically recognizes the License Number Plate .","{'IN': 17700, 'US': 240, 'isFree': False}",,"{'startDate': ""3rd Jan'23"", 'timings': 'Flexible'}",[],2022-12-09T12:49:19.374Z,63932ecfe714c0e744532e42.jpg,"[{'instructors': ['618929e26e59b248b8c04aa6'], 'overview': {'learn': ['Real Time Projects', 'Automatic Number Plate Recognition', 'Object detection using tensorflow', 'Paddle OCR', 'Modular Coding Techniques', 'Learn about AWS basics along with CICD tools like Github actions for production-grade deployment', 'Flask web framework'], 'requirements': ['System with minimum i3 processor or better', 'At least 4 GB of RAM', 'Working internet connection', 'Dedication to learn'], 'features': ['Do Everything In Industry Grade Lab', 'Learn As Per Your Timeline', 'Hands-On Industry Real-Time Projects.', 'Self Paced Learning', 'Dashboard Access', 'Course Materials', 'Assignments'], 'language': 'english'}}]","[{'_id': '618929e26e59b248b8c04aa6', 'name': 'krish naik', 'social': {'linkedin': 'https://www.linkedin.com/in/naikkrish/', 'instagram': 'https://www.instagram.com/krishnaik06', 'facebook': 'https://www.facebook.com/krishnaik06', 'youtube': 'https://www.youtube.com/user/krishnaik06', 'github': 'https://github.com/krishnaik06'}, 'img': {'source': 'bucket', 'link': 'Krish naik.png'}, 'description': 'Having 10+ years of experience in Data Science and Analytics with product architecture design and delivery. Worked in various product and service based Company. Having an experience of 5+ years in educating people and helping them to make a career transition.'}]","{'IN': '15000', 'US': '200', 'discount': 0, 'isFree': False}","{'bundleName': 'Data science Projects Neuron', 'bundleId': '638f22402f9fa1e3299fc156'}"
